url
ref,title,author,lastRunTime,totalVotes
akoirala111/mohs-hardness-regression,Mohs Hardness - Regression,akoirala111,2024-04-04 02:40:45,13
tuanai/use-google-play-scraper-to-collect-data,Use Google Play Scraper to collect data,Tuan_AI,2024-04-04 03:54:05,8
rizwanrizwannazir/predictive-analytics-with-neural-network-in-r,Predictive Analytics with Neural Network in R ,Rizwan Rizwan,2024-04-03 22:43:43,12
jefersonpazze/eda-baseline-birdclef-2024,EDA + Baseline - BirdCLEF 2024,Jeferson Souza Pazze,2024-04-03 20:48:16,20
alejopaullier/aes-2-multi-class-classification-inference,AES-2 | Multi-class Classification [Inference],moth,2024-04-03 20:10:44,14
seifwael123/abalone-s-regression-eda-starter-notebook,Abalone's Regression🐚🐚| EDA | Starter Notebook,Seif Wael,2024-04-04 04:53:15,4
bwandowando/analyze-upvoters-of-kaggle-user,🕵️Analyze Upvoters Of Kaggle User🎯,BwandoWando,2024-04-04 04:19:37,3
murilozangari/pss4e4-regression-with-an-abalone-dataset,PSS4E4 - Regression with an Abalone Dataset,Murilo Zangari,2024-04-04 05:28:03,19
alejopaullier/aes-2-multi-class-classification-train,AES-2 | Multi-class Classification [Train],moth,2024-04-03 20:30:21,10
yoonie03/yoonjeong-house-price,Yoonjeong_house price,Yoonjeong Cho,2024-04-04 05:45:54,17
iqbalsyahakbar/ps4e4-abalone-data-regression-quick-start,PS4E4 | Abalone Data Regression Quick Start,Iqbal Syah Akbar,2024-04-04 05:08:04,19
killa92/f1-0-8-oral-diseases-classification-pytorch,F1 > 0.8 | Oral Diseases Classification | PyTorch,Bekhzod Olimov,2024-04-03 23:40:33,5
mohdshahnawazaadil/restaurant-classification-based-on-cuisine-mlc,Restaurant Classification based on Cuisine : MLC,Mohd Shahnawaz Aadil,2024-04-03 21:56:14,7
mohlutfifadilah/fungi-detection-using-restnet-50,fungi detection using restnet-50,mohlutfifadilah,2024-04-04 05:29:16,7
richolson/mistral-7b-prompt-recovery-version-2,Mistral 7B Prompt Recovery (Version 2),Rich Olson,2024-04-03 19:11:31,44
ustcer1984/student-score-prediction-eda,"Student score prediction, EDA",Zhang Zhou,2024-04-04 00:07:40,4
msjahid/exploring-road-accident-trends-in-bangladesh,Exploring Road Accident Trends in Bangladesh,Ḥassān,2024-04-04 05:05:26,17
muhammadaman004/eda-netflix-dataset,EDA Netflix Dataset 📈,Muhammad Aman,2024-04-03 14:44:28,27
aymenmouffok/arabic-character-recognition-with-cnn,Arabic Character Recognition with CNN,Aymen mouffok,2024-04-03 12:35:24,42
robbynevels/bc24-eda,[BC24] EDA,thacrobatheskis,2024-04-03 23:58:25,5
ref,title,author,lastRunTime,totalVotes
killa92/100-accurate-fruits-classifier-using-pytorch,100% Accurate Fruits Classifier using PyTorch,Bekhzod Olimov,2024-04-04 01:06:34,4
wahyuardhitama/task004-p05-ds-web-scraping-stock-tesla-20240404,Task004-P05-DS-Web-Scraping-Stock-Tesla-20240404,Wahyu Ardhitama,2024-04-04 05:33:10,1
ykhorrami/bert-for-everyone-tutorial-implementation,"BERT for ""Everyone"" (Tutorial + Implementation)",Yaser Khorrami,2024-04-03 23:12:06,5
anzarwani2/simplest-beginner-notebook-updated-score,Simplest Beginner Notebook - Updated Score ,Anzar,2024-04-04 05:23:12,11
arjun1729/text-classification,text classification,Arjun1729,2024-04-04 05:20:19,1
sarahayoubi1/lab-5-k-means-clustering-sayoubii,Lab 5_ K-Means_Clustering - SAyoubii ,Sarah Ayoubi1,2024-04-04 05:20:17,1
mirhyun0508/korean-predict-house-price-step-by-step,[Korean] Predict House Price Step by Step,kim yonghyun,2024-04-04 02:03:05,2
a3amat02/asteroids-eda-classification,Asteroids EDA || Classification,a3amaT02,2024-04-03 22:22:37,4
mpwolke/birdclef-2024-western-ghats-species,BirdCLEF 2024 Western Ghats Species,Marília Prata,2024-04-04 01:56:20,2
sangwan123/kswcode,kswCode,sangwan123,2024-04-04 05:04:18,1
killa92/100-accurate-digits-classifier-using-pytorch-timm,100% Accurate Digits Classifier using PyTorch&Timm,Bekhzod Olimov,2024-04-03 23:44:23,3
azahiri/predicting-rock-types-in-pytorch-94-accuracy,Predicting Rock types in pytorch 94% accuracy,Ati Abyaneh,2024-04-03 23:44:30,3
codyjanderson/concrete-strength,Concrete_Strength💪 ,Cody Anderson,2024-04-03 22:13:06,4
mfmfmf3/clean-code-abalone,Clean Code | Abalone,I'mahdi,2024-04-03 23:59:53,3
minseonga/minseong-s-house-price,Minseong's House Price,KimMinSeong,2024-04-04 01:24:23,2
noyeemhossain135/regularization-in-deep-learning,Regularization in Deep Learning.,Noyeem Hossain,2024-04-04 04:37:53,1
pablodroca/amazon-books-reviews-analyzer,Amazon Books Reviews Analyzer,Pablo Roca,2024-04-04 03:57:23,3
barirahzainal/my-project-cv-pistachio-image-dataset,My Project CV Pistachio Image Dataset,Barirah Zainal Abidin,2024-04-04 01:23:54,2
mustafakeser4/ps-s4e4-autogluon,PS-S4E4 Autogluon 🤖🦾,Mustafa Keser,2024-04-03 20:48:41,22
benharris225/top-10-songs-ldr-analysis,Top 10 songs LDR analysis,Ben Harris,2024-04-04 04:33:29,1
ref,title,author,lastRunTime,totalVotes
rafaellaxer/world-air-quality-data-20-data-analysis,World Air Quality Data 20 - Data Analysis,Rafael Laxer,2024-04-04 01:16:06,2
ambrosm/pss4e4-eda-which-makes-sense,PSS4E4 EDA which makes sense ⭐️⭐️⭐️⭐️⭐️,AmbrosM,2024-04-03 15:41:24,47
aikhmelnytskyy/quick-start-base,Quick start base,Andrij,2024-04-03 21:36:35,5
neonkraft/eda-ensemble-of-xgb-lgbm-and-catboost,"EDA | Ensemble of XGB, LGBM and CatBoost 🔥​",Arjun,2024-04-03 23:47:55,9
koenbotermans/kraken-proccesing-historical-trades-to-bars,Kraken - Proccesing historical trades to bars,Koen Botermans,2024-04-04 06:00:15,7
nourraafat51/cifar-10-dataset-mnist-lab3-dl,CIFAR 10 Dataset & MNIST_lab3_DL,nour raafat,2024-04-04 04:14:41,1
alexreddy/titanic-crash-survived-classification,Titanic Crash Survived Classification,Alex Reddy,2024-04-03 21:18:44,4
kimkijun7/abalone-dataset-regression-with-r,Abalone Dataset Regression with R,KimKiJun7,2024-04-03 13:46:20,17
sjagkoo7/titanic-survival-prediction,Titanic Survival Prediction,sjagkoo7,2024-04-04 04:08:15,1
natsukihashimoto/sql-practical-examples,SQL | Practical Examples!🏀,Natsuki Hashimoto,2024-04-04 02:38:22,10
rupeshpap/binarysearchtree,BinarySearchTree,Rupeshpap,2024-04-04 03:58:10,1
susanta21/regularization,regularization,Susanta Baidya,2024-04-03 22:36:33,3
richolson/spacy-mean-prompt-modification-just-cpu,Spacy mean-prompt modification (just CPU!),Rich Olson,2024-04-04 04:03:42,1
misaanh/n5-2-bu-i-3,[N5_2] Buổi 3: ,misaanh,2024-04-04 03:57:19,1
liyeeee/yelim-s-house-price,yelim's  [house price],liyeeee,2024-04-03 16:08:48,10
alnourabdalrahman9/binary-prediction-of-smoker-status,Binary Prediction of Smoker Status,Alnour_Abdalrahman9,2024-04-03 11:56:53,22
glebkum/chain-of-thought-and-detailed-solutions,Chain of Thought and Detailed Solutions,Gleb_k,2024-04-03 14:09:05,14
gyogyocat/baseline-r-lightgbm,baseline_R_lightgbm,GyoGyoCat,2024-04-04 00:45:08,2
shashipreethamp/cp-home-credit-default-risk,CP: Home Credit Default Risk,Shashi Preetham Podupuganti,2024-04-04 04:29:41,1
boscojgarcias/bankdata,BankData,Bosco J Garcia S,2024-04-04 03:16:42,1
ref,title,author,lastRunTime,totalVotes
kunduruanil/anomaly-detection-in-action,Anomaly_Detection_in_action,Anil Kumar Reddy,2024-04-04 05:55:30,5
viktorvolchok/nlp-named-entity-recognition-ner,NLP: Named Entity Recognition (NER),Viktor Volchok,2024-04-03 23:46:46,2
dattatejaofficial/student-performance-by-multiple-regression,Student Performance by Multiple Regression,DATTA TEJA,2024-04-03 16:57:37,7
cdr0101/cirrhosis-prediction-multiclass,Cirrhosis_Prediction(Multiclass),Chelsi,2024-04-03 18:46:46,5
cdr0101/bank-churn-binary-classification-0-88764,Bank Churn(Binary Classification)(0.88764),Chelsi,2024-04-03 18:46:30,5
rjrendonrj/rag-from-scratch-openai-api-with-langchain,RAG from scratch OpenAI API with Langchain,rjrendonrj,2024-04-04 03:48:09,1
cdr0101/obesity-risk-0-90823,Obesity Risk(0.90823),Chelsi,2024-04-03 18:31:41,5
benjip/utility-helper,utility_helper,Benyamin Parang,2024-04-03 21:46:29,3
santiago123678/catboost-best-model,CATboost best model,SantiagoCostabile,2024-04-03 20:17:09,9
aaronfriasr/abalone-dataset-eda-different-models,Abalone Dataset EDA + Different Models,Aaron Frias,2024-04-03 15:01:57,10
aaronfriasr/vehicle-sales-data-eda,Vehicle Sales Data - EDA,Aaron Frias,2024-04-03 16:43:07,7
alexreddy/mnist-digits-classification,MNIST Digits Classification,Alex Reddy,2024-04-03 20:55:55,3
hardikgarg2003/bank-churn,Bank Churn,QuantumSavant,2024-04-03 12:51:29,13
ehorhashkoder/heart-attack-dataset,heart_attack_dataset,JasonFury,2024-04-03 22:56:33,2
uzdavinys/homecredit-population-stability-index,HomeCredit: Population Stability Index,Tomas Uždavinys,2024-04-03 17:51:10,16
alexreddy/iris-flowers-classification,Iris-Flowers-Classification,Alex Reddy,2024-04-03 21:01:46,3
marianadeem755/amazon-s-topbooks-reviews-tfidfvec-countvec,Amazon's TopBooks Reviews:TfidfVec&CountVec,maria nadeem,2024-04-03 09:02:36,28
jackalovich/digits-classification-using-knn-in-python,Digits Classification using KNN in Python,zohaib,2024-04-03 20:40:09,3
zeyadsayedadbullah/vehicle-sales-analysis-unveiling-trends-and,🚗📊 Vehicle Sales Analysis: Unveiling Trends and ,Zeyad Sayed,2024-04-03 15:13:17,8
ramakrushnamohapatra/advanced-sql-understand-esiest-way-possible,Advanced SQL: Understand Esiest Way Possible,Ramakrushna Mohapatra,2024-04-04 05:53:33,4
ref,title,author,lastRunTime,totalVotes
hardikgarg2003/digit-recognizer,Digit Recognizer,QuantumSavant,2024-04-03 13:12:25,11
mertbayraktar/s4e04-eda-stacking-with-cv,S4E04|EDA|STACKING WITH CV ,Mert Bayraktar,2024-04-03 12:25:04,15
cdr0101/binary-prediction-of-smoker-status,Binary Prediction of Smoker Status ,Chelsi,2024-04-03 18:46:18,4
jeonghyeonyeop/hyeop-house-price,Hyeop_House Price,JEONG Hyeon Yeop,2024-04-03 11:45:26,14
gettindrywearsout/shinyoung-eda,Shinyoung_EDA,gettindry_wearsout,2024-04-03 22:13:32,2
hugo22555/flamengo-finan-as-2023,Flamengo_Finanças_2023,Hugo-Alves,2024-04-04 01:28:20,1
susanta21/practiceanalysis,PracticeAnalysis,Susanta Baidya,2024-04-04 01:22:06,1
kazumatokuda/ps4e4-automl-first-try,PS4E4|🤖AutoML|first try,OzzyzOz,2024-04-04 01:19:22,1
umutberkekoc/eda-feature-extraction-lgbmregressor-rndmsrchcv,EDA+Feature Extraction LGBMRegressor + RndmSrchCV,Umut Berke Koç,2024-04-03 14:00:55,12
cdr0101/regression-abalonedataset-0-15241,Regression-AbaloneDataset (0.15241),Chelsi,2024-04-03 18:09:50,4
stan111111/notebook-threw-exception-solved1,Notebook Threw Exception-Solved1,3mz,2024-04-03 14:14:46,8
crisbebop/abalon-mlp-starter,Abalon_MLP_starter🤽‍♂️,Crisbebop,2024-04-03 16:01:51,7
renjiabarai/ring-regressor-with-pre-classification,ring-regressor-with-pre-classification,sadık,2024-04-03 15:44:39,6
jaisuryaprabu/heart-attack-prediction-eda-classification,Heart Attack Prediction | EDA | Classification,JaisuryaPrabu,2024-04-03 15:42:44,6
maheshmani13/multi-class-prediction,Multi Class Prediction,Mahesh Mani,2024-04-03 11:41:42,14
lukr90/ps4e4-stack-ranger-xgb-lgbm-with-r-tidymodels,PS4E4: stack ranger | xgb | lgbm with R tidymodels,Herr Kramer,2024-04-03 13:56:48,9
anshulgupta1502/intro-with-gemma-7b,Intro With Gemma-7b,ANSHUL GUPTA1502,2024-04-03 21:44:34,2
umutberkekoc/eda-featureextraction-catboost-hyprparam-opt,EDA+FeatureExtraction+Catboost+hyprparam-opt,Umut Berke Koç,2024-04-04 01:30:52,1
richolson/mixtral-8x7b-prompt-recovery,Mixtral 8x7b Prompt Recovery,Rich Olson,2024-04-03 20:46:24,16
shihyunlim/shihyunlim-house-prices,shihyunlim-House Prices,shihyunlim,2024-04-04 00:58:48,1
